feature	chromosome	start	end	SLX-17922.D704tp_D505tp.HC22GBBXY.s_6.r_1	SLX-17921.D705tp_D508tp.H5J55BBXY.s_8.r_1
3:53500001-54000000	3	53500001	54000000	1.013	0.945
3:54000001-54500000	3	54000001	54500000	1.007	1.007
3:54500001-55000000	3	54500001	55000000	1.04	1.005
3:55000001-55500000	3	55000001	55500000	0.925	1.099
3:55500001-56000000	3	55500001	56000000	1.052	0.991
3:56000001-56500000	3	56000001	56500000	1.07	1.082
3:56500001-57000000	3	56500001	57000000	1.048	1.001
3:57000001-57500000	3	57000001	57500000	1.031	0.96
3:57500001-58000000	3	57500001	58000000	0.941	0.927
3:58000001-58500000	3	58000001	58500000	1.059	0.965
3:58500001-59000000	3	58500001	59000000	1.115	1.044
3:59000001-59500000	3	59000001	59500000	1.014	1.026
3:59500001-60000000	3	59500001	60000000	1.057	1.011
3:60000001-60500000	3	60000001	60500000	1.088	0.958
3:60500001-61000000	3	60500001	61000000	1.026	1.056
3:61000001-61500000	3	61000001	61500000	1.133	1.047
3:61500001-62000000	3	61500001	62000000	0.96	0.989
3:62000001-62500000	3	62000001	62500000	0.957	0.995
3:62500001-63000000	3	62500001	63000000	1.029	0.987
3:63000001-63500000	3	63000001	63500000	1.036	1.044
3:63500001-64000000	3	63500001	64000000	1.087	0.942
3:64000001-64500000	3	64000001	64500000	1.015	0.99
3:64500001-65000000	3	64500001	65000000	1.01	1.007
3:65000001-65500000	3	65000001	65500000	1.006	0.99
3:65500001-66000000	3	65500001	66000000	1.009	0.997
3:66000001-66500000	3	66000001	66500000	0.969	0.983
3:66500001-67000000	3	66500001	67000000	1.037	0.956
3:67000001-67500000	3	67000001	67500000	1.106	1.035
3:67500001-68000000	3	67500001	68000000	1.006	1.049
3:68000001-68500000	3	68000001	68500000	1.08	1.005
3:69000001-69500000	3	69000001	69500000	0.917	0.924
3:69500001-70000000	3	69500001	70000000	0.997	1.033
3:70000001-70500000	3	70000001	70500000	1.073	1.054
3:70500001-71000000	3	70500001	71000000	1.077	1.033
3:71000001-71500000	3	71000001	71500000	0.875	0.976
3:71500001-72000000	3	71500001	72000000	0.909	1.044
3:72000001-72500000	3	72000001	72500000	0.979	0.957
3:72500001-73000000	3	72500001	73000000	1.01	1.015
3:73500001-74000000	3	73500001	74000000	1.04	0.989
3:74000001-74500000	3	74000001	74500000	0.992	0.948
3:74500001-75000000	3	74500001	75000000	1.053	1.043
3:76000001-76500000	3	76000001	76500000	1.067	1.054
3:76500001-77000000	3	76500001	77000000	0.978	0.963
3:77000001-77500000	3	77000001	77500000	1.002	1.051
3:77500001-78000000	3	77500001	78000000	0.989	0.953
3:78000001-78500000	3	78000001	78500000	0.959	0.989
3:78500001-79000000	3	78500001	79000000	0.989	1.02
3:79000001-79500000	3	79000001	79500000	1.061	1.031
3:79500001-80000000	3	79500001	80000000	0.972	0.99
3:80000001-80500000	3	80000001	80500000	0.975	0.902
3:80500001-81000000	3	80500001	81000000	1.105	0.96
3:81000001-81500000	3	81000001	81500000	0.974	0.95
3:81500001-82000000	3	81500001	82000000	1	1.03
3:82000001-82500000	3	82000001	82500000	0.985	1.024
3:83000001-83500000	3	83000001	83500000	1.044	0.94
3:83500001-84000000	3	83500001	84000000	0.921	0.932
3:84000001-84500000	3	84000001	84500000	0.973	0.98
3:84500001-85000000	3	84500001	85000000	1.071	0.899
3:85000001-85500000	3	85000001	85500000	0.936	1.007
3:85500001-86000000	3	85500001	86000000	0.954	0.92
3:86000001-86500000	3	86000001	86500000	1.034	1.019
3:86500001-87000000	3	86500001	87000000	1.085	0.903
3:87000001-87500000	3	87000001	87500000	1.045	0.955
3:87500001-88000000	3	87500001	88000000	1.113	1.035
3:88000001-88500000	3	88000001	88500000	1.064	0.956
3:88500001-89000000	3	88500001	89000000	1.085	1.014
3:89000001-89500000	3	89000001	89500000	1.156	1.052
3:94000001-94500000	3	94000001	94500000	0.964	0.978
3:94500001-95000000	3	94500001	95000000	1.103	0.971
3:95000001-95500000	3	95000001	95500000	1.058	1.022
3:95500001-96000000	3	95500001	96000000	1.095	1.051
3:97000001-97500000	3	97000001	97500000	1.042	0.96
3:97500001-98000000	3	97500001	98000000	1.045	1.026
3:98000001-98500000	3	98000001	98500000	1.139	0.942
3:98500001-99000000	3	98500001	99000000	1.017	0.96
3:99000001-99500000	3	99000001	99500000	1.117	0.938
3:99500001-100000000	3	99500001	100000000	1.097	1.013
3:100000001-100500000	3	100000001	100500000	1.083	0.995
3:100500001-101000000	3	100500001	101000000	1.072	0.938
3:101000001-101500000	3	101000001	101500000	1.076	1.038
3:101500001-102000000	3	101500001	102000000	1.059	0.998
3:102000001-102500000	3	102000001	102500000	1.111	1.033
3:102500001-103000000	3	102500001	103000000	1.067	1.017
3:103000001-103500000	3	103000001	103500000	0.99	0.974
3:103500001-104000000	3	103500001	104000000	1.097	0.972
3:104000001-104500000	3	104000001	104500000	1.022	0.92
3:104500001-105000000	3	104500001	105000000	1.025	0.948
3:105000001-105500000	3	105000001	105500000	0.974	1.025
3:105500001-106000000	3	105500001	106000000	1.034	0.968
3:106000001-106500000	3	106000001	106500000	1.087	1
3:107000001-107500000	3	107000001	107500000	1.011	1.025
3:107500001-108000000	3	107500001	108000000	1.088	0.987
3:108000001-108500000	3	108000001	108500000	1.002	0.998
3:108500001-109000000	3	108500001	109000000	1.068	0.941
3:109000001-109500000	3	109000001	109500000	1.084	1.025
3:109500001-110000000	3	109500001	110000000	1.123	0.99
3:110000001-110500000	3	110000001	110500000	0.974	0.998
3:110500001-111000000	3	110500001	111000000	1	1.084
3:111000001-111500000	3	111000001	111500000	1.028	1.023
3:111500001-112000000	3	111500001	112000000	1.06	0.995
3:112000001-112500000	3	112000001	112500000	1.048	1.003
3:112500001-113000000	3	112500001	113000000	1.074	1.071
3:113000001-113500000	3	113000001	113500000	1.168	1.024
3:113500001-114000000	3	113500001	114000000	1.039	0.972
3:114000001-114500000	3	114000001	114500000	1.004	1.007
3:114500001-115000000	3	114500001	115000000	1.184	0.993
3:115000001-115500000	3	115000001	115500000	1.042	1.017
3:115500001-116000000	3	115500001	116000000	1.019	0.98
3:116000001-116500000	3	116000001	116500000	1.171	0.991
3:116500001-117000000	3	116500001	117000000	1.108	1.048
3:117000001-117500000	3	117000001	117500000	1.063	1.005
3:117500001-118000000	3	117500001	118000000	1.078	1.012
3:118000001-118500000	3	118000001	118500000	1	0.982
3:118500001-119000000	3	118500001	119000000	0.981	1.03
3:119000001-119500000	3	119000001	119500000	1.078	0.976
3:120000001-120500000	3	120000001	120500000	1.058	0.961
3:121000001-121500000	3	121000001	121500000	1.095	1.023
3:121500001-122000000	3	121500001	122000000	0.99	1.027
3:122000001-122500000	3	122000001	122500000	1.067	1.039
3:123000001-123500000	3	123000001	123500000	1.005	0.95
3:123500001-124000000	3	123500001	124000000	1.071	0.961
3:124000001-124500000	3	124000001	124500000	1.133	0.986
3:124500001-125000000	3	124500001	125000000	1.059	1.014
3:125000001-125500000	3	125000001	125500000	1.083	0.981
3:126000001-126500000	3	126000001	126500000	1.04	0.982
3:126500001-127000000	3	126500001	127000000	1.096	1.016
3:127500001-128000000	3	127500001	128000000	0.967	1.011
3:128000001-128500000	3	128000001	128500000	0.957	0.959
3:129000001-129500000	3	129000001	129500000	0.948	0.976
3:129500001-130000000	3	129500001	130000000	1.062	0.915
3:130500001-131000000	3	130500001	131000000	1.156	1.064
3:131000001-131500000	3	131000001	131500000	1.004	1.06
3:131500001-132000000	3	131500001	132000000	1.155	1.03
3:132000001-132500000	3	132000001	132500000	1.074	0.956
3:132500001-133000000	3	132500001	133000000	1.137	1.055
3:133000001-133500000	3	133000001	133500000	1.148	1.096
3:133500001-134000000	3	133500001	134000000	1.037	1.105
3:134000001-134500000	3	134000001	134500000	0.986	0.98
3:134500001-135000000	3	134500001	135000000	1.077	1.03
3:135000001-135500000	3	135000001	135500000	1.109	1.13
3:135500001-136000000	3	135500001	136000000	1.16	1.1
3:136000001-136500000	3	136000001	136500000	1.105	1.034
3:136500001-137000000	3	136500001	137000000	1.003	0.984
3:137500001-138000000	3	137500001	138000000	1.076	1.07
3:138000001-138500000	3	138000001	138500000	1.153	0.988
3:138500001-139000000	3	138500001	139000000	0.944	0.955
3:139000001-139500000	3	139000001	139500000	1.014	1.051
3:139500001-140000000	3	139500001	140000000	1.151	1.056
3:140000001-140500000	3	140000001	140500000	1.101	0.999
3:140500001-141000000	3	140500001	141000000	1.051	1.095
3:141000001-141500000	3	141000001	141500000	1.053	0.988
3:141500001-142000000	3	141500001	142000000	1.134	1.055
3:142000001-142500000	3	142000001	142500000	1.082	0.948
3:143000001-143500000	3	143000001	143500000	1.052	0.915
3:143500001-144000000	3	143500001	144000000	1.026	0.974
3:144000001-144500000	3	144000001	144500000	1.021	1.041
3:144500001-145000000	3	144500001	145000000	1.038	1.092
3:145000001-145500000	3	145000001	145500000	1.044	0.937
3:145500001-146000000	3	145500001	146000000	1.041	0.972
3:146000001-146500000	3	146000001	146500000	1.066	0.981
3:146500001-147000000	3	146500001	147000000	1.053	0.902
3:147000001-147500000	3	147000001	147500000	1.111	0.974
3:147500001-148000000	3	147500001	148000000	1.051	0.945
3:148000001-148500000	3	148000001	148500000	1.029	1.051
3:148500001-149000000	3	148500001	149000000	1.048	1.055
3:149000001-149500000	3	149000001	149500000	1.068	0.963
3:149500001-150000000	3	149500001	150000000	1.013	0.98
3:150000001-150500000	3	150000001	150500000	1.037	0.947
3:150500001-151000000	3	150500001	151000000	1.083	0.959
3:151000001-151500000	3	151000001	151500000	1.026	0.976
3:151500001-152000000	3	151500001	152000000	1.054	0.911
3:152000001-152500000	3	152000001	152500000	1.038	0.936
3:153000001-153500000	3	153000001	153500000	1.086	0.944
3:154000001-154500000	3	154000001	154500000	0.968	1.013
3:154500001-155000000	3	154500001	155000000	0.977	0.979
3:155000001-155500000	3	155000001	155500000	0.986	0.98
3:155500001-156000000	3	155500001	156000000	1.028	1.048
3:156000001-156500000	3	156000001	156500000	0.979	1.11
3:156500001-157000000	3	156500001	157000000	0.994	1.021
3:157000001-157500000	3	157000001	157500000	1.043	0.971
3:157500001-158000000	3	157500001	158000000	1.091	1.016
3:158000001-158500000	3	158000001	158500000	0.955	1.086
3:158500001-159000000	3	158500001	159000000	0.981	0.955
3:159000001-159500000	3	159000001	159500000	1.089	1.07
3:159500001-160000000	3	159500001	160000000	1.118	1.057
3:160000001-160500000	3	160000001	160500000	0.954	1.003
3:161000001-161500000	3	161000001	161500000	1.074	1.031
3:161500001-162000000	3	161500001	162000000	1.073	1.087
3:162000001-162500000	3	162000001	162500000	0.972	0.938
3:163000001-163500000	3	163000001	163500000	0.972	0.942
3:163500001-164000000	3	163500001	164000000	0.992	0.919
3:164000001-164500000	3	164000001	164500000	1.064	0.992
3:164500001-165000000	3	164500001	165000000	1.054	1.019
3:165000001-165500000	3	165000001	165500000	1.09	0.916
3:165500001-166000000	3	165500001	166000000	1.05	1.004
3:166500001-167000000	3	166500001	167000000	1.097	0.919
3:167000001-167500000	3	167000001	167500000	1.106	1.037
3:167500001-168000000	3	167500001	168000000	1.08	0.994
3:168000001-168500000	3	168000001	168500000	1.084	0.988
3:168500001-169000000	3	168500001	169000000	1.048	1.032
3:169000001-169500000	3	169000001	169500000	1.028	1.061
3:169500001-170000000	3	169500001	170000000	1.153	0.95
3:170000001-170500000	3	170000001	170500000	1.032	0.927
3:170500001-171000000	3	170500001	171000000	1.119	1.064
3:171000001-171500000	3	171000001	171500000	1.026	0.968
3:172000001-172500000	3	172000001	172500000	0.948	0.96
3:172500001-173000000	3	172500001	173000000	1.078	0.981
3:173000001-173500000	3	173000001	173500000	1.053	1.009
3:173500001-174000000	3	173500001	174000000	1.091	1.028
3:174000001-174500000	3	174000001	174500000	1.077	0.962
3:174500001-175000000	3	174500001	175000000	1.066	1.01
3:175000001-175500000	3	175000001	175500000	1.029	1.055
3:175500001-176000000	3	175500001	176000000	1.033	0.993
3:176000001-176500000	3	176000001	176500000	1.075	0.985
3:176500001-177000000	3	176500001	177000000	1.131	1.041
3:177500001-178000000	3	177500001	178000000	1.085	1.035
3:178000001-178500000	3	178000001	178500000	1.067	1.025
3:178500001-179000000	3	178500001	179000000	1.05	1.022
3:179000001-179500000	3	179000001	179500000	1.123	0.943
3:179500001-180000000	3	179500001	180000000	1.066	0.981
3:180000001-180500000	3	180000001	180500000	1.011	1.047
3:180500001-181000000	3	180500001	181000000	1.107	0.973
3:181000001-181500000	3	181000001	181500000	1.045	1.055
3:181500001-182000000	3	181500001	182000000	1.009	1.039
3:182000001-182500000	3	182000001	182500000	1.142	1.048
3:182500001-183000000	3	182500001	183000000	0.954	1.009
3:183000001-183500000	3	183000001	183500000	1.077	0.95
3:183500001-184000000	3	183500001	184000000	1.07	0.996
3:184000001-184500000	3	184000001	184500000	1.11	1.013
3:184500001-185000000	3	184500001	185000000	0.994	1.029
3:185000001-185500000	3	185000001	185500000	1.067	0.939
3:185500001-186000000	3	185500001	186000000	0.987	1.013
3:186000001-186500000	3	186000001	186500000	0.991	0.988
3:186500001-187000000	3	186500001	187000000	1.087	0.977
3:187000001-187500000	3	187000001	187500000	1.114	1.031
3:187500001-188000000	3	187500001	188000000	0.963	1.015
3:188000001-188500000	3	188000001	188500000	1.054	1.067
3:188500001-189000000	3	188500001	189000000	0.971	1.052
3:189000001-189500000	3	189000001	189500000	1.08	1.007
3:189500001-190000000	3	189500001	190000000	1.086	1.003
3:190000001-190500000	3	190000001	190500000	1.183	1.082
3:190500001-191000000	3	190500001	191000000	1.126	0.963
3:191000001-191500000	3	191000001	191500000	1.025	0.911
3:191500001-192000000	3	191500001	192000000	1.137	0.937
3:192000001-192500000	3	192000001	192500000	1.074	0.995
3:193000001-193500000	3	193000001	193500000	1	0.906
3:193500001-194000000	3	193500001	194000000	1.029	0.96
3:194000001-194500000	3	194000001	194500000	1.041	0.97
3:194500001-195000000	3	194500001	195000000	1.092	1.023
3:195000001-195500000	3	195000001	195500000	1.03	1.033
3:196000001-196500000	3	196000001	196500000	1.003	0.926
3:196500001-197000000	3	196500001	197000000	0.968	1.042
3:197000001-197500000	3	197000001	197500000	1.08	0.97
3:197500001-198000000	3	197500001	198000000	1.032	0.937
4:500001-1000000	4	500001	1000000	0.995	0.988
4:1000001-1500000	4	1000001	1500000	1.025	0.928
4:1500001-2000000	4	1500001	2000000	1.013	0.951
4:2000001-2500000	4	2000001	2500000	1.124	0.991
4:2500001-3000000	4	2500001	3000000	0.982	0.995
4:3000001-3500000	4	3000001	3500000	1.063	1.001
4:4500001-5000000	4	4500001	5000000	1.008	1.072
4:5500001-6000000	4	5500001	6000000	1.052	1.065
4:6000001-6500000	4	6000001	6500000	1.001	1.031
4:6500001-7000000	4	6500001	7000000	1.01	0.946
4:7000001-7500000	4	7000001	7500000	1.033	0.983
4:7500001-8000000	4	7500001	8000000	0.969	1.034
4:8000001-8500000	4	8000001	8500000	1.016	1.022
4:8500001-9000000	4	8500001	9000000	1.104	1.135
4:10000001-10500000	4	10000001	10500000	0.924	0.941
4:10500001-11000000	4	10500001	11000000	0.996	1.002
4:11000001-11500000	4	11000001	11500000	1.03	1.061
4:11500001-12000000	4	11500001	12000000	1.001	1.165
4:12000001-12500000	4	12000001	12500000	0.973	0.959
4:13000001-13500000	4	13000001	13500000	0.959	0.979
4:13500001-14000000	4	13500001	14000000	1.007	0.988
4:14000001-14500000	4	14000001	14500000	1.059	1.07
4:15000001-15500000	4	15000001	15500000	1.067	0.996
4:15500001-16000000	4	15500001	16000000	0.965	0.977
4:16000001-16500000	4	16000001	16500000	1.076	1.006
4:16500001-17000000	4	16500001	17000000	1.155	1.019
4:17500001-18000000	4	17500001	18000000	0.912	0.979
4:18000001-18500000	4	18000001	18500000	0.949	1.025
4:19000001-19500000	4	19000001	19500000	1.05	1.033
4:19500001-20000000	4	19500001	20000000	1.086	1.007
4:20000001-20500000	4	20000001	20500000	1.028	1.017
4:20500001-21000000	4	20500001	21000000	0.994	1.062
4:21000001-21500000	4	21000001	21500000	1.004	0.995
4:21500001-22000000	4	21500001	22000000	1.064	1.001
4:22000001-22500000	4	22000001	22500000	1.007	1.006
4:23000001-23500000	4	23000001	23500000	1.086	1.02
4:23500001-24000000	4	23500001	24000000	1.069	1.021
4:24000001-24500000	4	24000001	24500000	1.018	1.008
4:24500001-25000000	4	24500001	25000000	0.983	0.98
4:25000001-25500000	4	25000001	25500000	0.987	0.913
4:26000001-26500000	4	26000001	26500000	0.943	1.035
4:26500001-27000000	4	26500001	27000000	1.031	1.115
4:27000001-27500000	4	27000001	27500000	0.978	0.975
4:28000001-28500000	4	28000001	28500000	1.002	0.933
4:28500001-29000000	4	28500001	29000000	0.975	0.967
4:29000001-29500000	4	29000001	29500000	1.01	1.004
4:29500001-30000000	4	29500001	30000000	0.985	0.981
4:30000001-30500000	4	30000001	30500000	0.943	0.932
4:31000001-31500000	4	31000001	31500000	0.983	0.964
4:31500001-32000000	4	31500001	32000000	1.028	0.973
4:32500001-33000000	4	32500001	33000000	0.947	0.964
4:33000001-33500000	4	33000001	33500000	0.99	0.986
4:33500001-34000000	4	33500001	34000000	1.002	0.989
4:34000001-34500000	4	34000001	34500000	0.981	0.944
4:34500001-35000000	4	34500001	35000000	1.021	0.951
4:35000001-35500000	4	35000001	35500000	1.011	0.936
4:35500001-36000000	4	35500001	36000000	0.959	0.942
4:36000001-36500000	4	36000001	36500000	1.04	1.031
4:36500001-37000000	4	36500001	37000000	0.994	0.899
4:37000001-37500000	4	37000001	37500000	1.108	1.035
4:37500001-38000000	4	37500001	38000000	1.026	1.063
4:38000001-38500000	4	38000001	38500000	1.044	0.893
4:38500001-39000000	4	38500001	39000000	0.984	0.929
4:39000001-39500000	4	39000001	39500000	0.907	0.922
4:39500001-40000000	4	39500001	40000000	0.927	0.9
4:40000001-40500000	4	40000001	40500000	0.888	0.957
4:40500001-41000000	4	40500001	41000000	0.964	1.022
4:41500001-42000000	4	41500001	42000000	1.016	0.996
4:42000001-42500000	4	42000001	42500000	1.117	0.974
4:42500001-43000000	4	42500001	43000000	1.01	0.969
4:43000001-43500000	4	43000001	43500000	0.97	0.95
4:43500001-44000000	4	43500001	44000000	0.943	1.031
4:44000001-44500000	4	44000001	44500000	1.038	1
4:44500001-45000000	4	44500001	45000000	0.969	0.936
4:45000001-45500000	4	45000001	45500000	0.98	0.962
4:45500001-46000000	4	45500001	46000000	1.048	0.961
4:46000001-46500000	4	46000001	46500000	1.05	1.045
4:46500001-47000000	4	46500001	47000000	1.09	0.995
4:47000001-47500000	4	47000001	47500000	0.988	0.963
4:48000001-48500000	4	48000001	48500000	1.038	0.984
4:48500001-49000000	4	48500001	49000000	0.951	0.94
4:52000001-52500000	4	52000001	52500000	3.847	1.074
4:52500001-53000000	4	52500001	53000000	3.629	1.135
4:53000001-53500000	4	53000001	53500000	3.75	1.123
4:53500001-54000000	4	53500001	54000000	3.706	1.089
4:54000001-54500000	4	54000001	54500000	3.358	1.028
4:54500001-55000000	4	54500001	55000000	2.691	1.063
4:55500001-56000000	4	55500001	56000000	1.04	1.001
4:56000001-56500000	4	56000001	56500000	0.932	0.928
4:56500001-57000000	4	56500001	57000000	1.007	0.989
4:57000001-57500000	4	57000001	57500000	0.941	1
4:57500001-58000000	4	57500001	58000000	1.029	1.05
4:58000001-58500000	4	58000001	58500000	0.983	1.011
4:58500001-59000000	4	58500001	59000000	0.896	1.066
4:59000001-59500000	4	59000001	59500000	1.043	0.954
4:59500001-60000000	4	59500001	60000000	0.969	1.019
4:60000001-60500000	4	60000001	60500000	0.964	0.995
4:60500001-61000000	4	60500001	61000000	1.141	1.006
4:61000001-61500000	4	61000001	61500000	1.034	1.02
4:61500001-62000000	4	61500001	62000000	0.976	1.01
4:62000001-62500000	4	62000001	62500000	0.966	0.934
4:62500001-63000000	4	62500001	63000000	1.072	0.97
4:63000001-63500000	4	63000001	63500000	1.036	0.885
4:63500001-64000000	4	63500001	64000000	1.044	0.957
4:64000001-64500000	4	64000001	64500000	1.132	0.875
4:65000001-65500000	4	65000001	65500000	0.974	0.94
4:65500001-66000000	4	65500001	66000000	1.003	1.017
4:66500001-67000000	4	66500001	67000000	0.899	0.916
4:67000001-67500000	4	67000001	67500000	1.003	0.937
4:67500001-68000000	4	67500001	68000000	0.951	0.905
4:69500001-70000000	4	69500001	70000000	1.458	0.966
4:70000001-70500000	4	70000001	70500000	1.474	1.024
4:70500001-71000000	4	70500001	71000000	1.492	0.938
4:71000001-71500000	4	71000001	71500000	1.098	1.107
4:71500001-72000000	4	71500001	72000000	0.995	0.984
4:72000001-72500000	4	72000001	72500000	1.06	1.076
4:72500001-73000000	4	72500001	73000000	1.405	0.956
4:73000001-73500000	4	73000001	73500000	1.295	0.934
4:73500001-74000000	4	73500001	74000000	1.153	0.976
4:74000001-74500000	4	74000001	74500000	1.383	0.945
4:74500001-75000000	4	74500001	75000000	1.962	1.065
4:75500001-76000000	4	75500001	76000000	1.927	0.929
4:76000001-76500000	4	76000001	76500000	0.937	1
4:76500001-77000000	4	76500001	77000000	0.954	1.011
4:77000001-77500000	4	77000001	77500000	0.988	0.98
4:77500001-78000000	4	77500001	78000000	0.888	0.998
4:78500001-79000000	4	78500001	79000000	0.981	0.953
4:79000001-79500000	4	79000001	79500000	0.964	1.016
4:79500001-80000000	4	79500001	80000000	0.923	1.047
4:80000001-80500000	4	80000001	80500000	0.853	0.986
4:80500001-81000000	4	80500001	81000000	0.988	1.023
4:81000001-81500000	4	81000001	81500000	1.001	1.02
4:81500001-82000000	4	81500001	82000000	0.958	1.028
4:82000001-82500000	4	82000001	82500000	0.998	0.954
4:82500001-83000000	4	82500001	83000000	0.976	0.93
4:83500001-84000000	4	83500001	84000000	0.964	0.927
4:84000001-84500000	4	84000001	84500000	1.004	1.066
4:84500001-85000000	4	84500001	85000000	0.878	0.991
4:85000001-85500000	4	85000001	85500000	1.033	1.055
4:85500001-86000000	4	85500001	86000000	0.914	1.023
4:86000001-86500000	4	86000001	86500000	1.014	1.064
4:86500001-87000000	4	86500001	87000000	0.968	1.027
4:87000001-87500000	4	87000001	87500000	0.92	0.935
4:87500001-88000000	4	87500001	88000000	0.993	1.099
4:88000001-88500000	4	88000001	88500000	0.92	0.964
4:88500001-89000000	4	88500001	89000000	0.925	0.983
4:89000001-89500000	4	89000001	89500000	1.014	1.036
4:90000001-90500000	4	90000001	90500000	1.004	1.074
4:90500001-91000000	4	90500001	91000000	0.974	1.041
4:91000001-91500000	4	91000001	91500000	0.962	0.984
4:91500001-92000000	4	91500001	92000000	0.959	1.002
4:92000001-92500000	4	92000001	92500000	0.917	0.965
4:93000001-93500000	4	93000001	93500000	0.995	1
4:93500001-94000000	4	93500001	94000000	0.988	1.082
4:94000001-94500000	4	94000001	94500000	1.035	1.059
4:94500001-95000000	4	94500001	95000000	0.958	1.023
4:95000001-95500000	4	95000001	95500000	1.019	0.962
4:95500001-96000000	4	95500001	96000000	0.994	0.978
4:96000001-96500000	4	96000001	96500000	0.892	1.024
4:96500001-97000000	4	96500001	97000000	1.033	1.07
4:97000001-97500000	4	97000001	97500000	1.019	1.03
4:97500001-98000000	4	97500001	98000000	0.827	0.958
4:98000001-98500000	4	98000001	98500000	0.946	0.99
4:98500001-99000000	4	98500001	99000000	0.937	0.974
4:99000001-99500000	4	99000001	99500000	0.836	1.027
4:99500001-100000000	4	99500001	100000000	0.926	0.988
4:100000001-100500000	4	100000001	100500000	0.965	0.959
4:100500001-101000000	4	100500001	101000000	0.873	0.989
4:101000001-101500000	4	101000001	101500000	0.938	0.939
4:101500001-102000000	4	101500001	102000000	0.971	1.064
4:102000001-102500000	4	102000001	102500000	1	1.098
4:103000001-103500000	4	103000001	103500000	1	0.965
4:103500001-104000000	4	103500001	104000000	0.971	0.951
4:104000001-104500000	4	104000001	104500000	0.921	1.041
4:104500001-105000000	4	104500001	105000000	0.952	1.046
4:105000001-105500000	4	105000001	105500000	0.91	0.945
4:105500001-106000000	4	105500001	106000000	0.878	1.029
4:106000001-106500000	4	106000001	106500000	1.034	1.024
4:106500001-107000000	4	106500001	107000000	1.024	1.059
4:107000001-107500000	4	107000001	107500000	0.993	1.003
4:108000001-108500000	4	108000001	108500000	0.957	1.092
4:108500001-109000000	4	108500001	109000000	0.975	0.976
4:109000001-109500000	4	109000001	109500000	0.99	1.081
4:109500001-110000000	4	109500001	110000000	0.931	1.007
4:110000001-110500000	4	110000001	110500000	1.005	1.082
4:110500001-111000000	4	110500001	111000000	0.988	1.003
4:111000001-111500000	4	111000001	111500000	1.021	1.067
4:111500001-112000000	4	111500001	112000000	0.927	1.066
4:112500001-113000000	4	112500001	113000000	0.935	0.909
4:113000001-113500000	4	113000001	113500000	0.927	1.021
4:113500001-114000000	4	113500001	114000000	0.999	0.998
4:114000001-114500000	4	114000001	114500000	0.985	0.992
4:114500001-115000000	4	114500001	115000000	0.949	0.977
4:115000001-115500000	4	115000001	115500000	1.041	0.97
4:115500001-116000000	4	115500001	116000000	0.943	1.049
4:116500001-117000000	4	116500001	117000000	0.964	0.897
4:117000001-117500000	4	117000001	117500000	0.993	0.988
4:117500001-118000000	4	117500001	118000000	0.955	0.95
4:118000001-118500000	4	118000001	118500000	0.89	0.968
4:119500001-120000000	4	119500001	120000000	1.002	0.956
4:120000001-120500000	4	120000001	120500000	0.914	0.993
4:120500001-121000000	4	120500001	121000000	0.927	1.04
4:121000001-121500000	4	121000001	121500000	0.958	0.956
4:121500001-122000000	4	121500001	122000000	0.963	0.99
4:122000001-122500000	4	122000001	122500000	0.943	0.973
4:122500001-123000000	4	122500001	123000000	0.864	1.036
4:123000001-123500000	4	123000001	123500000	0.908	0.969
4:123500001-124000000	4	123500001	124000000	0.976	1.053
4:124000001-124500000	4	124000001	124500000	0.985	1.024
4:124500001-125000000	4	124500001	125000000	0.886	0.972
4:125000001-125500000	4	125000001	125500000	1.014	1.026
4:125500001-126000000	4	125500001	126000000	0.868	0.968
4:126000001-126500000	4	126000001	126500000	0.94	1.019
4:126500001-127000000	4	126500001	127000000	0.979	1.007
4:127000001-127500000	4	127000001	127500000	0.981	1.016
4:127500001-128000000	4	127500001	128000000	0.858	0.978
4:128500001-129000000	4	128500001	129000000	0.943	1.019
4:129000001-129500000	4	129000001	129500000	0.938	1.041
4:129500001-130000000	4	129500001	130000000	0.901	1.071
4:130000001-130500000	4	130000001	130500000	0.798	0.978
4:130500001-131000000	4	130500001	131000000	0.918	0.918
4:131000001-131500000	4	131000001	131500000	0.912	0.955
4:132000001-132500000	4	132000001	132500000	0.895	1.022
4:132500001-133000000	4	132500001	133000000	0.846	0.964
4:133000001-133500000	4	133000001	133500000	0.898	0.977
4:133500001-134000000	4	133500001	134000000	0.95	0.915
4:134000001-134500000	4	134000001	134500000	0.922	0.923
4:134500001-135000000	4	134500001	135000000	0.871	0.92
4:135000001-135500000	4	135000001	135500000	0.927	0.988
4:135500001-136000000	4	135500001	136000000	0.903	0.95
4:136000001-136500000	4	136000001	136500000	0.938	0.988
4:136500001-137000000	4	136500001	137000000	0.853	0.913
4:137000001-137500000	4	137000001	137500000	0.932	0.976
4:137500001-138000000	4	137500001	138000000	0.941	0.945
4:138000001-138500000	4	138000001	138500000	0.926	1.027
4:138500001-139000000	4	138500001	139000000	0.945	1.113
4:139000001-139500000	4	139000001	139500000	0.814	0.913
4:139500001-140000000	4	139500001	140000000	0.938	0.951
4:140000001-140500000	4	140000001	140500000	0.948	0.949
4:141000001-141500000	4	141000001	141500000	0.976	1.059
4:141500001-142000000	4	141500001	142000000	0.98	0.957
4:142000001-142500000	4	142000001	142500000	0.958	1.012
4:142500001-143000000	4	142500001	143000000	0.968	1.098
4:144500001-145000000	4	144500001	145000000	0.989	1.059
